course_name,level,department,description,keywords,duration,fees_domestic,fees_international,min_gpa,min_ielts,trending_score,career_prospects,modules
Computer Science BSc,undergraduate,School of Computing,Comprehensive computer science program covering programming algorithms data structures and software engineering,"programming,software,algorithms,coding,artificial intelligence,machine learning,data structures,java,python",3 years,9250,13500,2.8,6.0,8.5,"Software Developer, Data Scientist, AI Engineer, Systems Analyst","Introduction to Programming (Core): Covers fundamentals of programming using Python and Java, focusing on problem-solving and algorithm design.
Data Structures and Algorithms (Core): Explores essential data structures like arrays, lists, and trees, and algorithmic techniques for efficient coding.
Software Engineering Principles (Core): Introduces software development methodologies, including agile practices and version control.
Artificial Intelligence Fundamentals (Core): Provides an overview of AI concepts, including machine learning and neural networks.
Final Year Project (Core): A capstone project to design and implement a software solution, emphasizing research and development skills."
Computer Science BSc with Placement,undergraduate with placement,School of Computing,Undergraduate computer science with a year-long industry placement,"programming,software,algorithms,coding,placement,industry",4 years,9250,13500,2.8,6.0,8.6,"Software Developer, Systems Engineer, IT Consultant","Introduction to Programming (Core): Teaches programming fundamentals using Python and Java with real-world applications.
Data Structures and Algorithms (Core): Focuses on designing and analyzing data structures and algorithms for efficiency.
Industry Placement (Core): A year-long placement in a tech company, applying programming and software engineering skills.
Software Engineering Practices (Core): Covers agile methodologies, testing, and deployment in professional settings.
Capstone Project (Core): A practical project integrating industry experience with academic learning."
Computer Science MSc,masters,School of Computing,Advanced study in computer science with focus on software development and emerging technologies,"software engineering,AI,cloud computing,advanced programming",1 year,10500,16500,3.0,6.5,8.7,"Senior Software Engineer, Data Scientist, IT Manager","Advanced Software Engineering (Core): Explores modern software development practices, including DevOps and microservices.
Cloud Computing Technologies (Core): Covers cloud platforms like AWS and Azure, focusing on scalable architectures.
AI and Machine Learning (Core): Introduces advanced AI techniques, including deep learning and neural networks.
Cybersecurity Fundamentals (Core): Examines security protocols and threat mitigation in software systems.
Dissertation (Core): A research-based project focusing on an emerging technology in computer science."
Computer Science PhD,PhD,School of Computing,Research-focused program in computer science with specialization options,"research,algorithms,AI,software systems,computer science",3 years,12000,18000,3.2,6.5,8.4,"Research Scientist, Academic, AI Specialist","Research Methods in Computer Science (Core): Covers advanced research methodologies and academic writing.
Specialized Algorithm Design (Core): Focuses on designing novel algorithms for specific research problems.
AI and Data Science Applications (Core): Explores cutting-edge AI applications in research contexts.
Seminar Series (Core): Engages students in presenting and critiquing current research in computer science.
Thesis (Core): An original research project contributing to the field of computer science."
Computer Science Apprenticeship,apprenticeship,School of Computing,Work-based learning in software development and IT systems,"apprenticeship,programming,software,IT systems",2 years,8000,12000,2.5,5.5,7.8,"Junior Developer, IT Support Specialist","Introduction to Software Development (Core): Teaches programming basics and software tools used in industry.
IT Systems and Support (Core): Covers system administration, networking, and IT support fundamentals.
Work-Based Project (Core): A practical project completed in a workplace setting, applying coding skills.
Database Fundamentals (Core): Introduces database management and SQL for IT applications.
Professional Skills (Core): Focuses on teamwork, communication, and workplace ethics."
Artificial Intelligence MSc,masters,School of Computing,Advanced AI program focusing on machine learning and neural networks,"artificial intelligence,machine learning,deep learning,neural networks,robotics",1 year,10500,16500,3.2,6.5,9.2,"AI Researcher, Machine Learning Engineer, Data Scientist","Artificial Intelligence & Machine Vision (Core): Covers key AI and machine vision concepts, including machine learning, neural networks, deep learning, and digital image processing. It also explores vision systems and addresses ethical, legal, and social issues in AI.
Machine Learning on Big Data (Core): Focuses on machine learning tools and techniques for analyzing large-scale data. Also includes cybersecurity concepts to protect systems from cyber threats and intrusions.
Intelligent Systems (Core): Provides hands-on experience in designing intelligent systems using agents, machine learning, and deep learning to solve complex real-world problems.
Mental Wealth; Professional Life (Dissertation) (Core): A practical project developing research, design, and implementation skills. Emphasizes ethical considerations, academic writing, personal development, and professional engagement.
Big Data Analytics (Core): Covers the theory and practice of big data systems, including data management and advanced analytics, using cutting-edge tools and techniques."
Artificial Intelligence PhD,PhD,School of Computing,Research in AI with focus on innovative algorithms and applications,"AI,machine learning,research,neural networks,robotics",3 years,12000,18000,3.2,6.5,9.0,"AI Research Scientist, Academic, AI Consultant","Advanced AI Research Methods (Core): Teaches research design and methodologies for AI innovation.
Neural Network Architectures (Core): Explores advanced neural network designs for cutting-edge applications.
Robotics and AI Applications (Core): Focuses on AI-driven robotics and real-world implementations.
Ethics in AI Research (Core): Examines ethical challenges in AI development and deployment.
Thesis (Core): An original research contribution to AI algorithms or applications."
Data Science MSc,masters,School of Computing,Interdisciplinary program combining statistics and programming for big data insights,"data science,big data,statistics,analytics,python",1 year,10500,16500,3.0,6.5,9.0,"Data Scientist, Business Analyst, Data Engineer","Statistical Methods for Data Science (Core): Covers advanced statistical techniques for data analysis.
Big Data Technologies (Core): Introduces tools like Hadoop and Spark for processing large datasets.
Python for Data Science (Core): Focuses on Python programming for data manipulation and visualization.
Machine Learning Applications (Core): Explores practical applications of machine learning in data science.
Dissertation (Core): A research project analyzing real-world data to derive actionable insights."
Data Science Postgraduate Diploma,postgraduate diploma,School of Computing,Condensed program in data science with focus on analytics and visualization,"data science,analytics,python,visualization",9 months,8500,13000,3.0,6.5,8.8,"Data Analyst, Business Intelligence Analyst","Data Visualization Techniques (Core): Teaches tools like Tableau and Power BI for effective data presentation.
Python for Analytics (Core): Focuses on Python for data cleaning, analysis, and visualization.
Statistical Analysis (Core): Covers essential statistical methods for data interpretation.
Big Data Fundamentals (Core): Introduces big data tools and techniques for analytics.
Capstone Project (Core): A practical project applying analytics to real-world datasets."
Cybersecurity MSc,masters,School of Computing,Specialized program in information security and cyber threat analysis,"cybersecurity,security,hacking,forensics,networking",1 year,10500,16500,3.0,6.5,8.8,"Security Analyst, Cyber Security Consultant","Network Security (Core): Covers protocols and techniques to secure network infrastructures.
Cyber Threat Analysis (Core): Focuses on identifying and mitigating cyber threats and vulnerabilities.
Digital Forensics (Core): Teaches techniques for investigating cyber incidents and collecting evidence.
Ethical Hacking (Core): Provides hands-on experience in penetration testing and vulnerability assessment.
Dissertation (Core): A research project on a cybersecurity challenge or innovation."
